entry_time,exit_time,side,entry_price,exit_price,qty,bars_held,score_at_entry,pnl,return_pct,exit_reason
2025-11-20 17:00:00+00:00,2025-11-21 07:00:00+00:00,SHORT,87066.860744,82272.69057997876,0.022652593016832152,14,-5.9,106.29879761633559,0.053896125266584057,tp
2025-11-21 08:00:00+00:00,2025-11-21 14:00:00+00:00,SHORT,83465.1744,84937.47803431503,0.023884607295598975,6,-4.7,-37.57873285805618,-0.0188503197541467,stop
2025-11-21 15:00:00+00:00,2025-11-21 17:00:00+00:00,SHORT,82779.7232,85517.9983910447,0.02399166248273136,2,-4.7,-68.11841944819646,-0.0342989045413882,stop
2025-11-21 18:00:00+00:00,2025-11-23 01:00:00+00:00,SHORT,84438.42517599999,85844.4974488024,0.023359156573261375,31,4.5,-35.23126164452021,-0.01786203405894385,stop
2025-11-23 04:00:00+00:00,2025-11-24 00:00:00+00:00,LONG,86565.23683199998,86486.29085051735,0.022740270350247466,20,3.7,-4.1563960763948105,-0.0021114353149273707,stop
2025-11-24 01:00:00+00:00,2025-11-24 09:00:00+00:00,LONG,87100.864992,85748.9684301975,0.022590877190886167,8,-5.5,-32.88342681804503,-0.016711733712282975,stop
2025-11-24 10:00:00+00:00,2025-11-24 16:00:00+00:00,SHORT,85927.2032,87378.1750250097,0.022786354821700203,6,4.2,-35.43175754540716,-0.01809619065949883,stop
2025-11-24 17:00:00+00:00,2025-11-25 08:00:00+00:00,LONG,88411.42259999999,87175.2869879966,0.022101340748610913,15,-3.4,-29.648675392098607,-0.015173238913092515,stop
2025-11-25 09:00:00+00:00,2025-11-25 17:00:00+00:00,SHORT,87139.492592,87638.67489599998,0.022320098607182655,8,3.5,-13.48243780786925,-0.006931979823672316,signal
2025-11-25 18:00:00+00:00,2025-11-25 22:00:00+00:00,SHORT,87114.003,87666.397056,0.02229570069075781,4,4.2,-14.654123427685501,-0.007544852416363011,signal
2025-11-26 00:00:00+00:00,2025-11-26 09:00:00+00:00,LONG,87608.63088,86721.61716,0.022171841569459862,9,-4.0,-21.985861253961804,-0.011318655009941217,signal
2025-11-26 14:00:00+00:00,2025-11-26 16:00:00+00:00,SHORT,86794.80856,87864.26522399999,0.022293333373566898,2,4.2,-26.17799371428542,-0.013529059257716311,signal
2025-11-26 17:00:00+00:00,2025-11-28 16:00:00+00:00,LONG,89887.86280799999,91066.50568778883,0.02150239360909787,47,3.2,23.009071891770876,0.0119045021793101,stop
2025-11-28 19:00:00+00:00,2025-11-29 18:00:00+00:00,LONG,91231.77708,90173.71453322575,0.021236128075299593,23,3.9000000000000004,-24.780561907052334,-0.012790563541461443,stop
2025-11-29 19:00:00+00:00,2025-11-30 21:00:00+00:00,LONG,90749.07122399998,90920.7298349979,0.021294428684198816,26,3.2,1.334239276289587,0.0006904393567605074,stop
2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,SHORT,90297.214392,88471.84927854575,0.02136972690535638,1,-4.9,36.71540633522258,0.019027205731876214,stop
2025-12-01 02:00:00+00:00,2025-12-01 21:00:00+00:00,SHORT,86657.51848,86445.58628225539,0.02235194421267123,19,-4.7,2.4155820964446355,0.00124709704112053,stop
2025-12-01 22:00:00+00:00,2025-12-02 13:00:00+00:00,SHORT,86521.07772,87803.35653599999,0.022392771792205547,15,4.5,-31.05594126512729,-0.01602931347020201,signal
2025-12-02 14:00:00+00:00,2025-12-03 02:00:00+00:00,LONG,89358.36955199999,92800.15856837973,0.021646914528644166,12,4.9,72.13821060986726,0.0372935844310392,tp
2025-12-03 03:00:00+00:00,2025-12-03 14:00:00+00:00,LONG,92718.29534399998,91832.33481936943,0.0210182053619143,11,4.0,-20.94865407590104,-0.010749668110599901,stop
2025-12-03 15:00:00+00:00,2025-12-04 14:00:00+00:00,LONG,92467.38477599999,92089.14884203271,0.021029891722986194,23,-4.5,-10.28298308832867,-0.005288025127158308,stop
2025-12-04 17:00:00+00:00,2025-12-04 19:00:00+00:00,LONG,92527.39274399998,91101.95508569977,0.020994008263331143,2,3.2,-32.23871960465422,-0.016596331329109173,stop
2025-12-04 20:00:00+00:00,2025-12-05 09:00:00+00:00,LONG,92597.088456,91104.08690175519,0.020908518594036887,13,3.2,-33.521002422281995,-0.017313959717224547,stop
2025-12-05 13:00:00+00:00,2025-12-06 14:00:00+00:00,SHORT,90419.486496,90092.35627199999,0.02130374713165336,25,4.7,4.661752379658341,0.002420088045389288,signal
2025-12-06 16:00:00+00:00,2025-12-07 15:00:00+00:00,SHORT,89665.580104,89348.10820631609,0.021493258376792765,23,-3.9000000000000004,4.5149530507891615,0.0023427460621352307,stop
2025-12-07 16:00:00+00:00,2025-12-07 21:00:00+00:00,LONG,89961.86196,90042.63686350068,0.02146682104144022,5,-3.7,-0.5844942196501173,-0.00030265931807326655,stop
